Date,Headline,BERT_Sentiment,Sentiment_score
2006-08-10,gold futures down 6.20 at $655.80 an ounce,negative,-1
2013-01-22,Gold maintains rising trend in futures trade on duty hike,positive,1
2018-02-15,silver : gold/silver price ratio: an epic opportunity in silver,neutral,0
2008-04-10,june gold down $1.20 at $936.30 an ounce on nymex,negative,-1
2014-09-17,"Gold futures hold steady as markets await Fed, Yellen",neutral,0
2016-06-07,gold holds near two-week highs as cautious yellen hurts dollar,negative,-1
2013-07-18,"Gold skids on weak demand, silver too slumps",negative,-1
2016-08-05,"December gold closes $23, or 1.7%, to settle at $1,344.40/oz.",negative,-1
2014-05-20,Gold prices flat in Asia with all eyes on the Fed,negative,-1
2011-11-09,gold zooms to all-time high on marriage season demand,positive,1
2017-01-03,Gold futures settle at a nearly three-week high,negative,-1
2012-08-15,"paulson, soros upped gold holdings last quarter",positive,1
2014-03-24,gold extends losses from last week as fed rate hike view weighs,negative,-1
2016-08-15,"Dec. gold settles at $1,347.50/oz, up $4.30, or 0.3%",positive,1
2015-06-01,"government reduces tariff value on gold, silver",negative,-1
2005-11-14,dec gold falls 30c to end at $469.10/oz,negative,-1
2012-09-18,mcx goldm nov contract declines,negative,-1
2018-07-31,"dec. gold settles at $1,233.60/oz, up $2.10, or 0.2%",positive,1
2017-04-12,Gold ends at highest level since early November as geopolitical jitters linger,negative,-1
2018-04-26,"gold ends lower, holds ground at a 5-week low",negative,-1
2010-07-16,"canadian stocks drop, led by oil, gold",negative,-1
2002-03-12,metals shares up on gold's price gain,positive,1
2017-10-12,gold prices touch two-week high amid subdued us dollar,positive,1
2017-11-03,"December gold rises 0.1% at $1,279.40/oz.",positive,1
2018-10-30,chinese gold mining industry: a story of growth,neutral,0
2018-06-29,"How will a weak rupee-dollar impact crude oil, gold and base metals?",negative,-1
2014-06-26,"Gold, silver lower ahead of U.S. spending, jobless claims data",negative,-1
2011-03-25,african barrick gold up 3.8% after drilling update,positive,1
2006-07-27,correct: newmont sells black gold oil-sands land for $280m,neutral,0
2017-06-30,"August gold down 0.2% at $1,244/oz.",negative,-1
2013-06-03,"roubini: why gold, 'that barbarous relic,' will trade below $1,000 by 2015",neutral,0
2013-02-27,"Gold futures drop to Rs 29,917 on global cues",negative,-1
2008-12-12,"gold ends lower, but gains on the week",positive,1
2016-03-01,guy who called gold's bottom says it could jump 10% over next 9 months,positive,1
2010-06-18,gold futures run towards fresh record levels,positive,1
2016-03-23,"april gold settles at $1,224/oz, down $24.60, or 2%",negative,-1
2009-08-07,"gold falls on upbeat jobs data, stronger dollar",positive,1
2017-02-07,Gold up a 4th session to hold ground at three-month high,positive,1
2016-10-20,"Dec. gold falls $2.40, or 0.2%, to settle at $1,267.50/oz",negative,-1
2009-08-31,gold maintains an upward march on firm global cues,positive,1
2017-07-21,"Gold prices end at highest level in a month, up over 2% for the week",positive,1
2017-11-30,gold remains lower after economic data,negative,-1
2010-06-29,"gold settles up 0.3% at $1,242.40/oz",positive,1
2009-01-13,gold futures may turn bearish this week on strong dollar,negative,-1
2018-06-15,"charts : gold clears 200-dma hurdle, surges to 1-month tops",positive,1
2011-12-21,gold futures settle with 0.3% loss,negative,-1
2017-08-11,Gold prices end the week 2.3% higher,positive,1
2017-07-03,Gold prices mark lowest settlement in nearly two months,negative,-1
2012-12-07,"morgan stanley's best picks for 2013: gold, silver",neutral,0
2008-07-21,"rupee up against dollar, gold recovers by rs 60",positive,1
2017-09-06,Iamgold's stock rally after gold discovery and upgrade extends win streak to longest in 6 years,positive,1
2012-06-29,"gold settles 3.5% higher at $1,604.20 an ounce",positive,1
2016-11-10,"December gold $4.20, or 0.3%, higher at $1,277.70/oz.",positive,1
2016-12-12,Alamos Gold upgraded to outperform from sector perform at RBC Capital,positive,1
2016-10-05,Gold extends bounce off 3-1/2-month lows after ADP disappoints,negative,-1
2017-01-27,"Feb. gold settles at $1,188.40/oz, down $1.40, or 0.1%",negative,-1
2013-08-01,gold declines as dollar strengthens,negative,-1
2005-09-02,gold futures head for three-session win,neutral,0
2016-11-15,"December gold trades up $3.50, or 0.3%, at $1,225.50/oz.",positive,1
2012-12-17,gold drops on us fiscal cliff talks as etp holdings at record,negative,-1
2016-11-14,"Dec. gold down $2.60, or 0.2%, to settle at $1,221.70/oz",negative,-1
2010-11-17,"dec. gold up 80 cents at $1,337.70/oz on globex",positive,1
2013-05-14,"npas are not an issue for gold loan companies: george alexander muthoot, muthoot finance",neutral,0
2017-12-11,gold heads for lowest level since may,negative,-1
2010-11-26,"silver plunges on heavy sell-off, gold edges up",positive,1
2017-11-09,india : gold demand in india seen falling to lowest in 8 years in 2017,negative,-1
2017-06-01,Gold holds firm loss after ADP private-sector jobs report,negative,-1
2015-12-21,MCX gold hovers above key support,positive,1
2017-04-19,Gold prices end at 1-week low as dollar recovers,negative,-1
2018-08-06,aram shishmanian to step down as ceo of the world gold council in 2019,neutral,0
2018-04-06,sharps pixley: world top 20 gold producing nations in 2017 - not peak gold yet!,neutral,0
2016-07-22,gold to trade in 30530-31282. range: achiievers equities,neutral,0
2017-04-12,Gold futures mark highest settlement since Nov. 7,positive,1
2017-08-30,"north korea tensions, soft dollar give much-needed boost to gold, may top rs 30,300 level",positive,1
2013-09-30,"comex gold up 8.4% on quarter, down 5% on month",negative,-1
2016-05-12,"gold futures fall rs 53 on weak global cues, profit-booking",negative,-1
2006-03-31,june gold falls $5.10 to close at $586.70/oz,negative,-1
2018-05-03,sprott : gold going,neutral,0
2018-08-07,"gold, the dollar and bitcoin",neutral,0
2017-04-27,Gold prices end modestly higher after three session decline,positive,1
2017-09-11,"gold, silver slip on profit booking",negative,-1
2004-08-19,gold futures touch five-week high above $410,positive,1
2017-08-29,curb on south korean imports pushes up gold prices,positive,1
2011-12-28,"2011: gold, silver touch all-time highs amid economic turmoil and rising inflation",positive,1
2015-05-05,"Gold futures down at Rs 26,815 per 10 gm",negative,-1
2017-10-25,"Dec. gold climbs by 70 cents, or less than 0.1%, to settle at $1,279/oz",positive,1
2017-05-12,"centre, states may settle for 4 per cent gst on gold, silver",neutral,0
2017-05-16,"June gold settles at $1,236.40/oz, up $6.40, or 0.5%",positive,1
2014-05-28,Gold trades at 3-month low as weak technical picture weighs,negative,-1
2012-12-25,"gold rises for third day on sustained buying, global cues",positive,1
2008-08-19,december gold down $4.80 to $800.90 an ounce on globex,negative,-1
2013-02-04,Gold moves down in futures trade on profit-booking,negative,-1
2015-01-06,"gold prices dip with focus on greece, euro, fed minutes",negative,-1
2013-02-14,gold settles near 6-month low,negative,-1
2019-01-03,silver : ice from the alps reveals europeans ditched gold for silver in ad 660,neutral,0
2017-02-21,Gold pares firm loss to trade at break-even levels as stocks pare gains in afternoon trade,positive,1
2011-12-08,Gold prices move up today,positive,1
2007-08-15,"gold, silver move in narrow range",neutral,0
2017-02-14,Gold futures off session highs as traders weigh Yellen's remarks,negative,-1
2015-04-02,"Gold ticks higher in thin Asia trade as Iran deal, U.S. jobs eyed",negative,-1
2011-10-10,"Gold, silver futures extend gains on broad dollar weakness",positive,1
2017-12-27,"gold tops rs 30,000-mark, hits 3-week high on firm global cues",positive,1
2014-07-02,Gold turns lower after robust ADP jobs data,negative,-1
2011-08-31,gold edges up to end august 12% higher,positive,1
2014-10-20,Gold edges higher with Fed rate outlook in focus,positive,1
2009-10-15,"dec. gold up $2.50 at $1,053.10/oz on globex",positive,1
2004-12-14,gold falls ahead of expected rate hike,negative,-1
2017-04-17,"June gold climbs $3.40, or 0.3%, to settle at $1,291.90/oz",positive,1
2017-08-07,December gold ekes out a slight gain,positive,1
2013-08-08,gold futures up 0.38 pc on firm global cues,positive,1
2012-07-17,"gold firms up on global cues, silver recovers",positive,1
2008-07-10,august gold up $8.70 to $937.30 an ounce on nymex,positive,1
2017-07-20,Gold marks longest win streak in 2 months as U.S. dollar sinks,positive,1
2018-10-09,"Gold falls to Rs 31,650 on weak global cues, muted demand ",negative,-1
2017-02-23,"Gold gains after jobless claims to trade around a 15-week high at $1,248.10, up 1.2%",positive,1
2013-05-21,gold recovers from 21-month lows; jumps by rs 680,positive,1
2014-08-20,gold futures trade near 2-week low before fomc minutes,negative,-1
2017-12-06,gold ekes out a gain a day after falling to a 4-month low,positive,1
2014-10-14,"Gold, silver futures move up on global cues",positive,1
2014-06-05,gold settles with biggest one-day gain in 3 weeks,positive,1
2017-11-07,Gold slips on profit-taking,negative,-1
2015-03-02,"gold falls following conflicting reports in china, india",negative,-1
2011-11-15,gold ends higher as traders mull investment appeal,positive,1
2012-01-20,gold falls; oil down for a third session,negative,-1
2012-02-21,"gold at highest in two weeks, gains 1.9%",positive,1
2018-03-12,barrick gold upgraded to outperform from sector perform at rbc capital,positive,1
2019-01-04,cpm group : politics expected to drive gold volatility in early 2019,neutral,0
2013-05-14,"gold prices jumps 500% in 7 years, what next?",neutral,0
2006-04-18,gold down 50c at $618.30 an ounce,negative,-1
2010-06-07,does gold know something that gold shares don't?,neutral,0
2016-12-12,Yamana Gold upgraded to outperform from sector perform at RBC Capital,positive,1
2009-08-24,"dec. gold turns lower, down 0.3% as dollar rises",negative,-1
2018-01-11,gold: what the crystal ball says,neutral,0
2015-07-13,gold slips as investors remain cautious following preliminary greek deal,negative,-1
2013-08-22,"dec. gold up 80 cents at $1,370.90/oz",positive,1
2011-08-01,"gold back to negative territory, at $1,628.90/oz",negative,-1
2015-06-22,Gold ETFs see <U+20B9>500 cr outflow in 2 months,negative,-1
2015-11-01,Gold imports dip 45.6% to $2.05 bn in September,negative,-1
2013-03-15,"Gold futures open lower at Rs 29,355",negative,-1
2018-02-14,"2018 winter olympics: shaun white wins historic third gold medal, and redemption",positive,1
2011-11-21,MCX GOLD December contract down marginally,negative,-1
2013-05-20,silver falls; gold heads for longest slide in four years,negative,-1
2009-11-25,"dec. gold hits $1,185 an ounce, new record",positive,1
2016-08-03,"Gold settles down $7.90, or 0.6%, at $1,364.70 an ounce",negative,-1
2017-05-08,"gold likely to fall towards rs 27,500 level on low demand, strong us data",negative,-1
2018-11-27,five timeless reasons why only gold is the best money,neutral,0
2011-10-13,Gold Rates: Prices decline today,negative,-1
2005-07-14,aug gold falls 30c to $424.30/oz in morning trade,negative,-1
2017-08-25,"December gold off 60 cents, or less than 0.1%, at $1,291.40/oz.",negative,-1
2016-08-15,Gold futures end higher after two-session decline,positive,1
2011-01-13,"gold closes modestly up at $1,387 an ounce",positive,1
2015-12-31,"Gold little changed in New Year's Eve trade, eyes 11% loss in 2015",negative,-1
2012-05-10,gold futures hold to minor loss after data,negative,-1
2017-11-09,global gold demand falls by 9% in third quarter,negative,-1
2018-05-01,gold is exhibiting an untidy uptrend and traders should be cautious,negative,-1
2013-11-19,gold futures fall 0.14 per cent on global cues,negative,-1
2014-12-19,"At crossroads now, gold looks vulnerable",neutral,0
2017-01-18,Gold futures finish with a modest loss as the dollar strengthens,negative,-1
2006-08-16,gold rises as dollar falls on tame cpi reading,negative,-1
2018-09-07,gold futures lower after august jobs report,negative,-1
2018-04-16,"june gold edges up by $2.80, or 0.2%, to settle at $1,350.70/oz",positive,1
2017-10-10,"gold marks over 1-week high, but us rate hike prospects curb gains",negative,-1
2015-12-18,"gold futures up 1.5% for the session, still loses 1% on week",positive,1
2016-01-01,gold begins 2016 with a glitter on jewellers buying,neutral,0
2014-08-25,Gold prices ease in Asia as investors focus on Fed rate hike timing,negative,-1
2013-12-17,comex gold marks first loss in three sessions,negative,-1
2013-05-15,"gold futures sink below $1,400 an ounce",negative,-1
2017-07-10,"Bitcoin the new gold? Yes, says one Wall Street strategist who sees a 21-fold surge",positive,1
2012-10-08,"gold settles 0.3% lower at $1,775.70 an ounce",negative,-1
2013-04-20,"Gold surges 1% on global cues, spot demand",positive,1
2017-09-18,"gold, silver drop in morning trade",negative,-1
2004-08-31,dec gold up $1 at $411 with 40 min left in the session,positive,1
2011-10-27,"gold futures down on profit-taking, global cues",negative,-1
2016-08-09,Gold closes higher to end two days of losses as dollar weakens,negative,-1
2000-10-16,gold slips for a second-straight day,negative,-1
2010-07-26,gold prices mildly lower in tracking currency move,negative,-1
2016-01-21,"Gold edges lower but holds above $1,100 ahead of U.S. data, ECB",negative,-1
2003-09-08,dec gold down $2.60 at $376.10; gold indexes down 1%,negative,-1
2002-03-20,japan's gold imports surge 7-fold,positive,1
2017-10-30,"December gold futures up 20 cents at $1,272 an ounce",positive,1
2014-03-16,Import tariff value on gold hiked,positive,1
2016-07-26,"August gold settles at $1,320.80/oz, up $1.30, or 0.1%",positive,1
2013-08-21,"dec. gold down $2.10, or 0.2%, at $1,370.50/oz",negative,-1
2018-02-05,"Gold futures fall to Rs 30,281 on weak global cues",negative,-1
2005-12-13,feb gold extends declines after hours on fed rate hike,negative,-1
2012-09-05,"gold ends 0.1% lower at $1,694 an ounce",negative,-1
2003-11-19,gold slips after overnight breach of $400,negative,-1
2004-07-13,gold futures down almost $7 in afternoon trade,negative,-1
2016-09-23,"Gold futures down at Rs 31,345 on weak global cues",negative,-1
2014-04-15,"gold drops over 2%; silver, copper take hits",negative,-1
2016-07-28,"Dec. gold settles at $1,341.20/oz, up $6.70, or 0.5%",positive,1
2010-02-10,gold ends lower as dollar firms on greek delay,negative,-1
2004-08-06,gold futures climb above $400 to two-week high,positive,1
2004-10-07,gold futures close with a 50-cent loss,positive,1
2011-03-16,"gold, silver decline on stockist offering, global cues",negative,-1
2010-05-26,gold extends gains to third day on ongoing uncertainty,positive,1
2017-06-05,Gold ends at multiweek high after back-to-back advance,positive,1
2017-12-14,"feb. gold gains $8.50, or 0.7%, to settle at $1,257.10/oz",positive,1
2013-02-27,Gold drops for first time in 5 days as investment demand falls,negative,-1
2017-10-06,"Dec. gold climbs $1.70, or 0.1%, to settle at $1,274.90/oz",positive,1
2017-07-28,"gold tallies third weekly gain on north korea news, weaker dollar",negative,-1
2015-10-22,gold falls to 1-week low as dollar soars against euro on dovish draghi,negative,-1
2011-09-07,"canada shares rise, but gold miners lag gains",negative,-1
2011-09-07,crude advances; gold falls from record levels,negative,-1
2016-06-22,"Gold futures fall to Rs Rs 30,230 per 10 gm",negative,-1
2017-03-31,"Gold logs a more than 8% quarterly rise, 0.2% higher for the week, but off 0.2% for the month",positive,1
2013-12-17,gold sees first annual decline in 2013: is it no longer a safe haven?,negative,-1
2012-09-03,gold holds near 5-month highs after fed qe signal,positive,1
2018-09-11,Commodity outlook: Gold fizzles out on strong dollar clout,negative,-1
2018-07-03,"Gold futures down at Rs 30,551 on weak global cues",negative,-1
2005-06-27,is gld as good as gold?,neutral,0
2017-03-30,"June gold settles at $1,248/oz, down $8.80, or 0.7%",negative,-1
2003-05-19,spot gold prices rise $4 from ny to $367.75 in asia,positive,1
2017-02-10,"Gold settles lower, but posts a more than 1% weekly gain",negative,-1
2016-12-29,Gold notches fourth winning day in a row as dollar pulls back,positive,1
2016-08-19,"Gold futures fall to Rs 31,400 on weak global cues",negative,-1
2013-11-14,comex gold futures gain more ground,positive,1
2011-09-05,expert tips: how to play falling oil & rising gold today,neutral,0
2017-04-28,"Glitter is back this Akshaya Tritiya, says World Gold Council India head",neutral,0
2010-02-03,"gold futures up $2.70 at $1,120.70 an ounce",positive,1
2017-06-14,"August gold settles up $7.30, or 0.6%, at $1,275.90/oz.",positive,1
2017-08-28,"Gold futures rise to Rs 29,206 on firm global cues",positive,1
2018-06-01,"gold settles under $1,300 after upbeat u.s. jobs data",negative,-1
2008-05-09,june gold up $3.40 at $885.50 an ounce on nymex,positive,1
2011-10-04,"gold adds rs 285, silver sheds rs 200 on global cues",negative,-1
2017-07-11,"August gold settles at $1,214.70/oz, up $1.50, or 0.1%",positive,1
2016-09-21,Federal Reserve gives gold a reason to rise,neutral,0
2002-03-26,gold's easy money lures wall street,neutral,0
2013-06-12,gold futures ease from two-month high,negative,-1
2013-01-02,gold settles 0.8% higher after fiscal cliff deal,positive,1
2011-09-02,"gold, silver surges further on global cues",positive,1
2011-09-12,Gold futures fall on weak Asian trend,negative,-1
2016-07-27,"Gold pares gains, oil loses more ground after Fed announcement",negative,-1
2016-06-24,Brexit: Gold glitters as investors look for safe haven,neutral,0
2012-10-22,"dec. gold up $2.30, or 0.1%, at $1,726.30/oz",positive,1
2018-12-20,"gold's down for the year, but set to shine in 2019",negative,-1
2008-03-31,gold moves up on firm global cues,positive,1
2018-11-09,"gold prices settle at lowest in a month, down 2% for the week",negative,-1
2012-06-02,"GOLD AT HISTORIC HIGH: Crosses Rs 30,000/10 gm on global cues",positive,1
2017-03-02,"April gold drops $17.10, or 1.4%, to settle at $1,232.90/oz",negative,-1
2009-08-27,gold futures down 80c at $945.00 an ounce,negative,-1
2004-10-28,"spot gold quoted at $425, up 30 cents from new york",positive,1
2018-05-08,num wants 37% pay hike from gold miners over the next two years,positive,1
2017-11-02,"Dec. gold edges up by 80 cents to settle at $1,278.10/oz",positive,1
2011-08-05,"india gold hits record high on global markets, rupee",positive,1
2012-01-30,"Gold futures down at Rs 27,945 per 10 grams",negative,-1
2017-11-03,"equities' appeal pushes gold prices down to rs 30,250",negative,-1
2018-02-01,bank of mongolia purchases 1.1 tons of gold in january,neutral,0
2013-10-13,Bearish trend in gold; all eyes now on US,neutral,0
2017-08-16,"December gold down by 0.2% at $1,277.60/oz.",negative,-1
2017-11-20,"December gold ends 1.6% lower at $1,275.30 an ounce",negative,-1
2010-08-09,gold prices end lower; copper bucks trend to post gains,negative,-1
2018-12-13,"bullionvault : annual price patterns in gold, silver, platinum",neutral,0
2005-07-27,"gold futures climb, but metals indexes fall",negative,-1
2010-11-17,"gold closes marginally lower at $1,336.90/oz",negative,-1
2013-02-18,gold edges up from multi-month low,positive,1
2016-03-03,"gold extends gains to $1,250/oz after ism report",positive,1
2012-05-23,"june gold falls $26.80, or 1.7%, $1,550/oz",negative,-1
2006-05-09,gold futures close above $700 for first time since oct. 1980,positive,1
2011-10-15,"gold glitters,up rs 45 on seasonal demand;silver down by rs 250",positive,1
2018-10-30,Gold dips as US-China trade war fears props up dollar,negative,-1
2008-08-21,"december gold up $17.20, or 2.1%, to $833.50 an ounce globex",positive,1
2015-11-13,gold dips below rs 26k;hits over 3 month low on global cues,negative,-1
2017-04-17,gold hits five-month high on rising geopolitical tensions,positive,1
2013-11-15,"dec. gold up $1.10 to settle at $1,287.40/oz",positive,1
2017-02-14,"April gold up 40 cents at $1,226.20/oz after $1,236 high",positive,1
2017-05-01,Gold prices mark 3-week low,negative,-1
2012-05-08,gold futures log lowest settlement since jan. 3,negative,-1
2011-12-20,gold futures settle more than $20 higher,negative,-1
2011-12-01,"Gold prices trading higher in Mumbai, Chennai market",positive,1
2016-09-02,"Dec. gold settles at $1,326.70/oz, up $9.60, or 0.7%, for the session",positive,1
2018-10-26,"Gold steady, on track for longest string of weekly gains since January",positive,1
2017-03-02,Gold futures mark lowest settlement since mid-February,negative,-1
2016-12-08,gold futures decline rs 59 on profit-booking,negative,-1
2005-10-06,gold prices up $5 an ounce in late morning trade,positive,1
2016-07-31,Here's what Donald Trump would do to the price of gold,neutral,0
2010-05-16,"crude pushing $70 on strong dollar, though gold up",positive,1
2013-02-07,"experts suggest trade for gold, silver & crude",neutral,0
2018-11-01,India's gold demand to remain flat this year: WGC,neutral,0
2006-12-07,feb. gold falls $4 to $631.90/oz in ny,negative,-1
2009-05-04,gold trades marginally up on pick-up in demand,positive,1
2013-01-22,see gold etfs earn interest post import hike: goldman sachs,neutral,0
2017-06-19,"August gold falls $9.80, or 0.8%, to settle at $1,246.70/oz.",negative,-1
2013-03-25,"april gold down $1.60, or 0.1%, at $1,604.50/oz",negative,-1
2013-04-23,"gold eases on lacklustre trade, silver drops",negative,-1
2018-09-03,tiffany strikes gold as sales once again beat expectations,positive,1
2002-03-05,gold pulls back from earlier rise,negative,-1
2011-08-16,gold futures close at a record level,positive,1
2014-06-02,Gold extends slump to hit 18-week low with U.S. economy in focus,negative,-1
2012-02-06,"gold falls on dollar strength, lower stocks",negative,-1
2018-01-19,"sharps pixley:  gold price of $1,340 - pass at your peril?",neutral,0
2014-03-28,Gold falls on solid U.S. personal spending data,negative,-1
2018-10-23,"Short-covering, geopolitical tensions drive gold prices up",negative,-1
2016-10-07,gold futures post largest weekly loss in over 3 years,negative,-1
2014-08-05,"gold gains on bargain hunting, ukraine concerns",positive,1
2005-09-09,"dec gold up $4.50, or 1%, for the week",positive,1
2017-12-26,gold hits over 3 week high on dollar weakness; palladium at 17 year high,positive,1
2011-10-14,MCX GOLDM Nov contract up slightly,positive,1
2013-02-07,gold futures rise 0.16% on global cues,positive,1
2016-12-27,"February gold ends up $5.10, or 0.5%, at $1,138.70/oz.",positive,1
2017-08-02,Gold settles lower as caution over the Fed caps upside,negative,-1
2017-03-06,"Gold ends lower on interest-rate outlook, but geopolitical worries buoy",negative,-1
2017-11-02,Gold adds to slight loss after Bank of England lifts interest rates for first time in 10 years,negative,-1
2016-12-20,sell copper & gold; buy crude: sumeet bagadia,neutral,0
2012-06-13,"aug gold up 30 cents at $1,614.10/oz",positive,1
2017-07-06,gold prices tally a second-straight session climb,negative,-1
2017-12-07,ron paul : 51% of respondents chooses bitcoin over gold and fiat,neutral,0
2017-11-22,etfs : gold etf veteran says new funds fix key problems,positive,1
2017-10-27,"Dec. gold gains $2.20, or 0.2%, to settle at $1,271.80/oz",positive,1
2007-03-22,"gold, silver futures climb to three-week highs",positive,1
2016-12-07,"Feb. gold climbs $7.40, or 0.6%, to settle at $1,177.50/oz",positive,1
2018-01-17,silver to 'outperform gold' in 2018 as gold/silver ratio trades 41% above 50-year average,positive,1
2014-08-21,"december gold down $19 at $1,276.20 an ounce",negative,-1
2007-02-23,gold futures up $8 at $691 an ounce,positive,1
2017-10-27,gold edges down as dollar gains vs euro on ecb policy,negative,-1
2013-10-02,"gold trade near two-month lows, silver strech losses",negative,-1
2015-09-01,"gold prices dip in asia as focus on u.s. jobs data, fed",negative,-1
2014-10-25,"gold posts weekly loss on dollar rise, strong us data",negative,-1
2014-07-08,Gold prices gain in Asia ahead of Fed minutes release,neutral,0
2012-05-08,Deccan Exploration discovers additional gold resources in Haveri district,positive,1
2018-04-17,chopard pledges to use 100% ethical gold by july,neutral,0
2017-10-17,Gold prices hold sharp loss after import-price report,negative,-1
2018-01-26,inflation : key trends for trading markets 2018: this will be a gold-en year,neutral,0
2009-12-22,"feb. gold falls 0.8% to $1,087.50 an ounce",negative,-1
2014-08-15,"Gold futures hold steady, eyes on U.S. economic reports",neutral,0
2007-11-20,dec. gold ends up $13.40 at $791.40 an ounce on nymex,positive,1
2016-12-18,"Weekend roundup: Companies with most to gain from Trump tax cuts | Dow at 20,000 | A gold bug suffers",negative,-1
2018-04-10,"More upside seen in gold prices, every dip could be opportunity to go long in silver",neutral,0
2013-01-18,"commodity bets: trading tips to make profit in gold, silver",neutral,0
2010-09-21,gold futures slip from record high ahead of fed,negative,-1
2017-06-05,"August gold up 0.1% at $1,281.40/oz, after $1,286.60 high",positive,1
2016-10-10,gold futures recover after worst week in more than 3 years,negative,-1
2006-01-05,metals indexes follow gold lower,neutral,0
2008-04-28,gold up on firm global cues,positive,1
2009-03-17,gold futures fall below $920 as dollar rises,negative,-1
2014-05-14,gold futures edge higher with ukraine events in focus,positive,1
2009-12-02,"gold taps more records, nears $1,225 on globex",positive,1
2014-11-04,"chinese unmoved by gold price drop, see it cheaper still",positive,1
2011-06-03,"oil falls below $99 a barrel, gold off by 0.4%",negative,-1
2016-12-05,gold prices settle lower as rate hike looms,negative,-1
2016-12-01,Gold early losses hold steady after jobless claims,negative,-1
2015-04-07,Gold futures down 0.19% on profit-booking,negative,-1
2007-12-04,gold futures rally above $800; platinum gains,positive,1
2017-08-22,Gold prices to trade higher: Angel Commodities,neutral,0
2017-09-07,"Gold falls to Rs 30,360; silver slips below 42K-mark",negative,-1
2011-04-13,gold futures end $2 higher after two-session drop,positive,1
2014-05-07,"Gold turns lower after Putin comments, Yellen testimony ahead",negative,-1
2011-12-20,"Gold spurts on firm buying, silver also edges up",positive,1
2017-09-13,"gold little changed amid firmer equities, weaker dollar",negative,-1
2017-09-29,Rough September dents gold's 3rd quarter gain,negative,-1
2017-10-31,Gold Prices Break 3-Day Winning Streak as China Factory Growth Disappoints,positive,1
2016-11-23,Gold futures slip back in electronic trading below settlement level,negative,-1
2007-05-11,gold futures recover some of their losses,positive,1
2018-01-25,Gold Prices Trim Gains but Remain Near 4-Month Peak,negative,-1
2013-04-08,gold marks modest retreat after friday's rally,negative,-1
2016-11-23,Gold futures edges up in electronic trading after FOMC minutes,positive,1
2011-04-15,gold investing: what to do and how to do it,neutral,0
2018-11-09,"Gold loses sheen on subdued demand, priced Rs 32,250 per 10 gm",negative,-1
2017-09-08,gold up over 0.50 per cent in morning trade,positive,1
2003-06-25,"aug gold ends at $349.60, up 0.8% ahead of fed decision",positive,1
2018-02-09,digixdao (dgd): is market unrest driving investors to this gold coin?,negative,-1
2017-05-01,Gold loses 1% to finish at lowest in three weeks,negative,-1
2017-03-20,"spot gold, silver prices surge on weak dollar index",positive,1
2003-11-05,gold futures close near $383 an ounce,neutral,0
2017-06-08,Gold trades lower after employment report,negative,-1
2009-08-20,fall in gold prices may increase demand,negative,-1
2013-11-06,"gold rises after seven days on low level buying, global cues",positive,1
2006-01-19,feb gold climbs $9.40 to $553.90/oz after $555.50 high,positive,1
2017-05-04,"June gold settle at $1,228.60/oz, down $19.90, or 1.6%",negative,-1
2015-04-24,"gold futures lose 1.6% on day, down about 2.4% for the week",negative,-1
2014-11-20,"Swiss gold exports to China, India jump in October",positive,1
2012-10-04,gold run on romney win defies logic,neutral,0
2015-10-08,"Gold futures slip to Rs 26,698 per 10 gm",negative,-1
2011-04-27,"june gold up $7.50 at $1,524.60/oz on globex",positive,1
2014-04-06,Gold / Silver / Copper futures - weekly outlook: April 7 - 11,neutral,0
2016-09-23,"Dec. gold settle at $1,341.70/oz, down $3, or 0.2%",negative,-1
2003-02-10,internet gold q4 earns 5c vs. 2.5c,positive,1
2018-05-18,"Gold futures fall to Rs 31,200 per 10 gm",negative,-1
2002-03-14,"gold futures, issues in dull dealings",neutral,0
2013-01-16,germany wants its gold back - should you worry?,neutral,0
2011-09-19,gold gains as european debt concerns boost demand,positive,1
2013-04-16,"as gold prices drop, us shoppers, investors ponder options",neutral,0
2015-07-23,"Gold prices drop sharply in Asia on weak flash China PMI, market turmoil",negative,-1
2017-06-08,Gold prices log lowest settlement in a week,negative,-1
2011-07-21,gold settles at lowest in a week,negative,-1
2018-03-13,Gold futures weaken by 0.09% on global cues,negative,-1
2016-11-08,"Gold investment demand jumps world-wide, but overall demand drops",positive,1
2012-03-07,gold rises by rs 71 in futures trade,positive,1
2016-07-11,"gold rebounds on global cues, jewellers buying; silver up",positive,1
2010-03-30,gold futures open 70 cents lower on nymex,negative,-1
2010-11-12,"gold, oil fall further after consumer data",negative,-1
2017-05-30,Gold prices pull back after climbing over the last three weeks,negative,-1
2002-08-08,fall in wholesale prices hit gold stocks,negative,-1
2017-06-05,Gold hits highest in over six weeks as US jobs data disappoints,negative,-1
2017-12-12,gold inches up from near 5-mth low ahead of fed meeting,positive,1
2015-08-21,gold futures gain 4.2% for the week,positive,1
2011-07-04,Dhanlaxmi Bank enters gold retailing,neutral,0
2006-03-14,spot gold quoted at $550.60 in asia trade,neutral,0
2016-02-03,"Gold holds steady near 3-month high ahead of U.S. API, ISM reports",positive,1
2009-11-02,"gold futures end above $1,060 an ounce as dollar falls",positive,1
2011-07-28,"barrick profit up 35% on higher gold, copper price",positive,1
2014-12-31,"Gold futures decline to Rs 26,931 per 10 gm",negative,-1
2016-11-04,"dec. gold settles at $1,304.50/oz, up $1.20, or 0.1%, for the session",positive,1
2011-11-28,"gold jumps on global cues, silver also soars",positive,1
